timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1709296375934,1898,GET-UserProfile,200,OK,Thread Group 1-2,text,true,,861,357,20,20,https://thinking-tester-contact-list.herokuapp.com/users/me,1898,0,1639
1709296377833,264,GET-Contact,200,OK,Thread Group 1-2,text,true,,1064,357,23,23,https://thinking-tester-contact-list.herokuapp.com/contacts,264,0,0
1709296375835,2444,GET-UserProfile,200,OK,Thread Group 1-1,text,true,,861,357,24,24,https://thinking-tester-contact-list.herokuapp.com/users/me,2444,0,2181
1709296376434,1948,GET-UserProfile,200,OK,Thread Group 1-7,text,true,,861,357,25,25,https://thinking-tester-contact-list.herokuapp.com/users/me,1948,0,1690
1709296376032,2407,GET-UserProfile,200,OK,Thread Group 1-3,text,true,,861,357,26,26,https://thinking-tester-contact-list.herokuapp.com/users/me,2407,0,2146
1709296378279,256,GET-Contact,200,OK,Thread Group 1-1,text,true,,1064,357,27,27,https://thinking-tester-contact-list.herokuapp.com/contacts,256,0,0
1709296376634,1987,GET-UserProfile,200,OK,Thread Group 1-9,text,true,,861,357,26,26,https://thinking-tester-contact-list.herokuapp.com/users/me,1987,0,1711
1709296378382,265,GET-Contact,200,OK,Thread Group 1-7,text,true,,1064,357,27,27,https://thinking-tester-contact-list.herokuapp.com/contacts,265,0,0
1709296378440,250,GET-Contact,200,OK,Thread Group 1-3,text,true,,1064,357,26,26,https://thinking-tester-contact-list.herokuapp.com/contacts,250,0,0
1709296378621,261,GET-Contact,200,OK,Thread Group 1-9,text,true,,1064,357,27,27,https://thinking-tester-contact-list.herokuapp.com/contacts,261,0,0
1709296376133,2749,GET-UserProfile,200,OK,Thread Group 1-4,text,true,,861,357,27,27,https://thinking-tester-contact-list.herokuapp.com/users/me,2749,0,2483
1709296376933,2013,GET-UserProfile,200,OK,Thread Group 1-12,text,true,,861,357,27,27,https://thinking-tester-contact-list.herokuapp.com/users/me,2013,0,1757
1709296376333,2750,GET-UserProfile,200,OK,Thread Group 1-6,text,true,,861,357,28,28,https://thinking-tester-contact-list.herokuapp.com/users/me,2750,0,2504
1709296378882,262,GET-Contact,200,OK,Thread Group 1-4,text,true,,1064,357,29,29,https://thinking-tester-contact-list.herokuapp.com/contacts,262,0,0
1709296378946,259,GET-Contact,200,OK,Thread Group 1-12,text,true,,1064,357,28,28,https://thinking-tester-contact-list.herokuapp.com/contacts,259,0,0
1709296376535,2730,GET-UserProfile,200,OK,Thread Group 1-8,text,true,,861,357,28,28,https://thinking-tester-contact-list.herokuapp.com/users/me,2730,0,2470
1709296379084,259,GET-Contact,200,OK,Thread Group 1-6,text,true,,1064,357,29,29,https://thinking-tester-contact-list.herokuapp.com/contacts,259,0,0
1709296377433,2000,GET-UserProfile,200,OK,Thread Group 1-17,text,true,,861,357,29,29,https://thinking-tester-contact-list.herokuapp.com/users/me,2000,0,1729
1709296379266,282,GET-Contact,200,OK,Thread Group 1-8,text,true,,1064,357,30,30,https://thinking-tester-contact-list.herokuapp.com/contacts,282,0,0
1709296377633,2029,GET-UserProfile,200,OK,Thread Group 1-19,text,true,,853,357,30,30,https://thinking-tester-contact-list.herokuapp.com/users/me,2029,0,1713
